"DateTime","Amyotrophic lateral sclerosis[en]","Amyotrophe Lateralsklerose[de]","Sclérose latérale amyotrophique[fr]","Ice Bucket Challenge[en]"
"2008-05-12 00:00:00",3301,872,257,0
"2008-05-13 00:00:00",3173,1531,368,0
"2008-05-14 00:00:00",3142,1307,297,0
"2008-05-15 00:00:00",3019,1308,422,0
"2008-05-16 00:00:00",2689,1193,360,0
"2008-05-17 00:00:00",1879,747,294,0
"2008-05-18 00:00:00",2584,1038,246,0
"2008-05-19 00:00:00",3124,1267,384,0
"2008-05-20 00:00:00",3310,3448,395,0
"2008-05-21 00:00:00",2761,1215,305,0
"2008-05-22 00:00:00",2786,1318,321,0
"2008-05-23 00:00:00",2597,1034,338,0
"2008-05-24 00:00:00",1894,706,240,0
"2008-05-25 00:00:00",2110,900,247,0
"2008-05-26 00:00:00",2295,1269,373,0
"2008-05-27 00:00:00",3317,1254,307,0
"2008-05-28 00:00:00",3023,1155,322,0
"2008-05-29 00:00:00",3227,1125,330,0
"2008-05-30 00:00:00",2668,826,314,0
"2008-05-31 00:00:00",2342,648,210,0
"2008-06-01 00:00:00",2414,1004,270,0
"2008-06-02 00:00:00",3439,1150,300,0
"2008-06-03 00:00:00",3157,1176,328,0
"2008-06-04 00:00:00",3086,1484,329,0
"2008-06-05 00:00:00",3032,1185,363,0
"2008-06-06 00:00:00",2794,1826,358,0
"2008-06-07 00:00:00",1970,780,262,0
"2008-06-08 00:00:00",2151,954,240,0
"2008-06-09 00:00:00",3143,1265,337,0
"2008-06-10 00:00:00",3251,1151,365,0
"2008-06-11 00:00:00",3113,1297,316,0
"2008-06-12 00:00:00",3406,1437,343,0
"2008-06-13 00:00:00",3034,1382,378,0
"2008-06-14 00:00:00",2376,1032,236,0
"2008-06-15 00:00:00",2673,1532,295,0
"2008-06-16 00:00:00",3212,1398,398,0
"2008-06-17 00:00:00",3144,1285,330,0
"2008-06-18 00:00:00",3067,1583,386,0
"2008-06-19 00:00:00",3224,1246,384,0
"2008-06-20 00:00:00",2983,1028,362,0
"2008-06-21 00:00:00",2527,627,265,0
"2008-06-22 00:00:00",2372,1049,249,0
"2008-06-23 00:00:00",3162,1374,323,0
"2008-06-24 00:00:00",3072,1350,341,0
"2008-06-25 00:00:00",2931,1106,313,0
"2008-06-26 00:00:00",3782,1273,274,0
"2008-06-27 00:00:00",2641,1023,311,0
"2008-06-28 00:00:00",2008,749,225,0
"2008-06-29 00:00:00",2196,1080,226,0
"2008-06-30 00:00:00",3984,1600,379,0
"2008-07-01 00:00:00",2923,1198,337,0
"2008-07-02 00:00:00",2993,2503,299,0
"2008-07-03 00:00:00",2830,1674,292,0
"2008-07-04 00:00:00",2721,1152,247,0
"2008-07-05 00:00:00",2092,941,206,0
"2008-07-06 00:00:00",2115,1114,285,0
"2008-07-07 00:00:00",3167,1391,385,0
"2008-07-08 00:00:00",2914,1457,391,0
"2008-07-09 00:00:00",2741,1225,332,0
"2008-07-10 00:00:00",2670,2706,376,0
"2008-07-11 00:00:00",2456,1173,301,0
"2008-07-12 00:00:00",1926,822,1091,0
"2008-07-13 00:00:00",2124,1004,440,0
"2008-07-14 00:00:00",2825,1321,278,0
"2008-07-15 00:00:00",3261,1260,330,0
"2008-07-16 00:00:00",6093,1263,460,0
"2008-07-17 00:00:00",3112,1219,393,0
"2008-07-18 00:00:00",2656,1365,390,0
"2008-07-19 00:00:00",1999,768,251,0
"2008-07-20 00:00:00",2098,962,259,0
"2008-07-21 00:00:00",2776,2939,332,0
"2008-07-22 00:00:00",2807,1359,345,0
"2008-07-23 00:00:00",2862,1219,305,0
"2008-07-24 00:00:00",2526,1039,320,0
"2008-07-25 00:00:00",2371,957,281,0
"2008-07-26 00:00:00",1910,636,224,0
"2008-07-27 00:00:00",2467,827,222,0
"2008-07-28 00:00:00",2929,1083,286,0
"2008-07-29 00:00:00",2803,2249,376,0
